indicator_key,var_id,indikator,unit,subject,source_domain,kode_wilayah,nama_wilayah,turvar_id,turvar_label,th_id,tahun,turth_id,turth_label,nilai,data_key,last_update
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7303,Bantaeng,0,Tidak ada,121,2021,0,Tahun,6.77,730341501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7304,Jeneponto,0,Tidak ada,121,2021,0,Tahun,6.6,730441501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7305,Takalar,0,Tidak ada,121,2021,0,Tahun,7.49,730541501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7306,Gowa,0,Tidak ada,121,2021,0,Tahun,8.2,730641501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7307,Sinjai,0,Tidak ada,121,2021,0,Tahun,7.78,730741501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7308,Maros,0,Tidak ada,121,2021,0,Tahun,8.01,730841501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7309,Pangkajene dan Kepulauan,0,Tidak ada,121,2021,0,Tahun,7.92,730941501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7310,Barru,0,Tidak ada,121,2021,0,Tahun,8.24,731041501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7311,Bone,0,Tidak ada,121,2021,0,Tahun,7.23,731141501210,2025-11-05 12:00:46
mean_years_schooling_new_method,415,[Metode Baru] Rata-rata Lama Sekolah,Tahun,Tujuan Pembangunan Berkelanjutan Edisi I,0000,7312,Soppeng,0,Tidak ada,121,2021,0,Tahun,7.82,731241501210,2025-11-05 12:00:46
