indicator_key,var_id,kode_wilayah,th_id,turvar_id,turth_id,data_key,source_domain,nilai,last_update,artifact_path,snapshot_id
poverty_rate,192,1400,121,434,61,140019243412161,0000,7.12,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1400,121,434,62,140019243412162,0000,7.0,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2021.json,bps-data-389fbfd995754e0e
poverty_rate,192,1400,122,432,61,140019243212261,0000,6.34,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1400,122,432,62,140019243212262,0000,6.49,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1400,122,433,61,140019243312261,0000,7.08,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1400,122,433,62,140019243312262,0000,7.07,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1400,122,434,61,140019243412261,0000,6.78,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1400,122,434,62,140019243412262,0000,6.84,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2022.json,bps-data-e46aa53d43b00c96
poverty_rate,192,1400,123,432,61,140019243212361,0000,6.73,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1400,123,433,61,140019243312361,0000,6.65,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1400,123,434,61,140019243412361,0000,6.68,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2023.json,bps-data-d8ab23f832cb7cbe
poverty_rate,192,1400,124,432,61,140019243212461,0000,6.76,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1400,124,432,62,140019243212462,0000,6.11,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
poverty_rate,192,1400,124,433,61,140019243312461,0000,6.61,2026-02-05 13:03:51,results\api\extract\data\dynamic_poverty_rate_2024.json,bps-data-8c5cb32173251389
